City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Belyy Yar,RU,2021-04-11 15:57:28,53.6039,91.3903,30.2,59,100,2.24,smoke
219,Jumla,NP,2021-04-11 15:57:29,29.2747,82.1838,46.33,25,25,5.3,scattered clouds
220,Canakkale,TR,2021-04-11 15:57:29,40.0833,26.8333,55.4,35,0,12.66,clear sky
221,Chute-Aux-Outardes,CA,2021-04-11 15:57:29,49.1168,-68.399,46.4,57,90,4.61,overcast clouds
222,Virginia Beach,US,2021-04-11 15:57:30,36.8529,-75.978,73.99,68,40,20.71,scattered clouds
223,Tilichiki,RU,2021-04-11 15:52:46,60.4667,166.1,-2.52,88,15,8.63,few clouds
224,Yarmouth,US,2021-04-11 15:57:30,41.7057,-70.2286,52.0,93,90,9.22,mist
225,Longyearbyen,SJ,2021-04-11 15:54:59,78.2186,15.6401,17.6,62,75,16.11,broken clouds
226,Wagar,SD,2021-04-11 15:57:31,16.1525,36.2032,88.48,21,47,19.93,scattered clouds
227,Povenets,RU,2021-04-11 15:57:31,62.8487,34.8262,37.63,72,2,11.32,clear sky
228,Port Elizabeth,ZA,2021-04-11 15:57:04,-33.918,25.5701,69.8,78,0,6.91,clear sky
229,Chuy,UY,2021-04-11 15:57:32,-33.6971,-53.4616,65.66,85,94,24.87,overcast clouds
230,Kandrian,PG,2021-04-11 15:57:32,-6.2167,149.55,76.28,91,100,6.04,light rain
231,Elko,US,2021-04-11 15:57:32,41.0002,-115.5012,39.99,49,0,5.01,clear sky
232,Upernavik,GL,2021-04-11 15:57:33,72.7868,-56.1549,30.38,75,100,6.93,overcast clouds
233,Roald,NO,2021-04-11 15:56:03,62.5833,6.1333,41.0,75,20,11.5,few clouds
234,Coihaique,CL,2021-04-11 15:57:33,-45.5752,-72.0662,57.2,77,75,5.75,light rain
235,Tual,ID,2021-04-11 15:57:34,-5.6667,132.75,83.21,70,80,9.69,broken clouds
236,Bagdarin,RU,2021-04-11 15:57:34,54.4333,113.6,9.18,57,0,3.94,clear sky
237,Luderitz,NA,2021-04-11 15:57:34,-26.6481,15.1594,78.26,47,0,7.0,clear sky
238,Iqaluit,CA,2021-04-11 15:54:41,63.7506,-68.5145,26.6,86,40,19.57,scattered clouds
239,Harper,LR,2021-04-11 15:57:35,4.375,-7.7169,84.87,70,78,10.18,broken clouds
240,Port Arthur,CN,2021-04-11 15:57:36,38.8,121.2667,51.8,66,0,11.18,light rain
241,Perbaungan,ID,2021-04-11 15:57:36,3.5679,98.956,78.8,100,40,3.6,mist
242,Ukiah,US,2021-04-11 15:53:56,39.1502,-123.2078,43.0,81,1,0.81,clear sky
243,Asau,RO,2021-04-11 15:57:36,46.4333,26.4,55.0,23,1,5.08,clear sky
244,Porto Novo,BJ,2021-04-11 15:56:47,6.4965,2.6036,89.6,70,20,16.11,few clouds
245,Medford,US,2021-04-11 15:57:37,42.3265,-122.8756,42.01,75,1,2.01,clear sky
246,Namatanai,PG,2021-04-11 15:57:37,-3.6667,152.4333,75.96,92,100,5.1,moderate rain
247,Pevek,RU,2021-04-11 15:57:38,69.7008,170.3133,-26.12,99,76,1.88,broken clouds
248,Turbat,PK,2021-04-11 15:57:38,26.0023,63.044,85.89,24,0,11.81,clear sky
249,Itoman,JP,2021-04-11 15:57:39,26.1247,127.6694,69.8,68,20,11.5,few clouds
250,Lorengau,PG,2021-04-11 15:57:39,-2.0226,147.2712,80.85,83,95,13.29,light rain
251,Narsaq,GL,2021-04-11 15:57:39,60.9167,-46.05,53.6,20,1,23.02,clear sky
252,Saint-Philippe,RE,2021-04-11 15:54:55,-21.3585,55.7679,78.8,78,90,4.61,light rain
253,Miles City,US,2021-04-11 15:57:40,46.4083,-105.8406,33.8,86,90,24.16,light snow
254,Sterling,US,2021-04-11 15:57:40,39.0062,-77.4286,75.0,56,20,10.36,few clouds
255,Kumluca,TR,2021-04-11 15:57:41,36.3703,30.2869,56.26,56,7,6.42,clear sky
256,Mubi,NG,2021-04-11 15:57:41,10.2676,13.2644,101.91,6,98,10.36,overcast clouds
257,Reftinskiy,RU,2021-04-11 15:57:41,57.0901,61.6769,59.0,47,0,6.71,clear sky
258,Sept-Iles,CA,2021-04-11 15:57:37,50.2001,-66.3821,55.4,54,75,9.22,broken clouds
259,Chokurdakh,RU,2021-04-11 15:55:13,70.6333,147.9167,-19.82,99,52,7.54,broken clouds
260,Keskin,TR,2021-04-11 15:57:42,39.6731,33.6136,37.0,88,100,3.0,overcast clouds
261,Colares,PT,2021-04-11 15:57:42,38.7992,-9.4469,66.0,63,20,12.66,few clouds
