City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Mitsamiouli,KM,2021-04-08 23:00:35,-11.3847,43.2844,81.59,76,13,6.02
222,Dallas,US,2021-04-08 22:57:52,32.7668,-96.7836,84.2,24,20,12.66
223,Wuwei,CN,2021-04-08 23:00:35,37.9281,102.6414,48.97,63,100,1.97
224,Daru,PG,2021-04-08 23:00:35,-9.0763,143.2092,77.94,88,100,7.83
225,Lovington,US,2021-04-08 23:00:36,32.944,-103.3485,84.99,6,56,8.99
226,Jiuquan,CN,2021-04-08 23:00:37,39.7432,98.5174,44.35,69,100,10.89
227,Longavi,CL,2021-04-08 23:00:38,-35.9667,-71.6833,62.1,59,29,8.01
228,Chumikan,RU,2021-04-08 22:57:42,54.7183,135.315,18.73,91,95,6.17
229,Polewali,ID,2021-04-08 23:00:38,-3.4324,119.3435,77.5,86,86,3.04
230,Ponta Delgada,PT,2021-04-08 22:58:42,37.7333,-25.6667,60.8,82,75,19.57
231,Benguela,AO,2021-04-08 22:59:50,-12.5763,13.4055,80.98,84,78,0.85
232,Drayton Valley,CA,2021-04-08 23:00:39,53.2168,-114.9854,37.0,50,83,8.01
233,Ponta Do Sol,PT,2021-04-08 22:58:19,32.6667,-17.1,59.0,76,96,1.99
234,Lorengau,PG,2021-04-08 22:57:38,-2.0226,147.2712,83.08,80,100,13.0
235,Miyako,JP,2021-04-08 23:00:40,39.6367,141.9525,40.62,54,62,9.78
236,Yulara,AU,2021-04-08 23:00:44,-25.2406,130.9889,60.8,55,31,4.61
237,North Platte,US,2021-04-08 23:00:45,41.1239,-100.7654,71.6,18,1,19.57
238,Beloha,MG,2021-04-08 23:00:45,-25.1667,45.05,70.41,90,53,9.73
239,Henties Bay,NA,2021-04-08 23:00:45,-22.116,14.2845,69.53,64,50,5.59
240,Chepareria,KE,2021-04-08 23:00:46,1.3077,35.2039,62.82,68,70,5.19
241,Porto Novo,BJ,2021-04-08 23:00:46,6.4965,2.6036,84.2,84,40,12.66
242,Avera,US,2021-04-08 23:00:47,33.194,-82.5271,77.0,44,75,6.91
243,Yerbogachen,RU,2021-04-08 22:57:49,61.2767,108.0108,9.79,91,100,9.01
244,Pingzhuang,CN,2021-04-08 23:00:48,42.0372,119.2889,44.11,27,58,11.54
245,Faanui,PF,2021-04-08 22:59:07,-16.4833,-151.75,81.82,71,16,9.42
246,Santiago,CL,2021-04-08 22:59:09,-33.4569,-70.6483,71.6,43,40,9.22
247,Kruisfontein,ZA,2021-04-08 23:00:49,-34.0033,24.7314,60.01,95,4,1.01
248,Chuy,UY,2021-04-08 22:57:33,-33.6971,-53.4616,71.73,78,100,9.48
249,Naryan-Mar,RU,2021-04-08 22:58:03,67.6713,53.087,38.26,91,99,26.55
250,Grand Forks,US,2021-04-08 22:57:36,47.9417,-97.4337,42.8,100,90,12.66
251,Bay City,US,2021-04-08 23:00:49,43.5945,-83.8889,62.6,82,90,14.97
252,Poggibonsi,IT,2021-04-08 23:00:40,43.4724,11.1456,48.0,52,49,3.0
253,Atar,MR,2021-04-08 23:00:50,20.5169,-13.0499,82.0,15,0,9.51
254,Road Town,VG,2021-04-08 23:00:51,18.4167,-64.6167,77.0,61,20,8.05
255,Arraial Do Cabo,BR,2021-04-08 22:57:32,-22.9661,-42.0278,76.37,68,41,17.67
256,Bethel,US,2021-04-08 22:58:36,41.3712,-73.414,69.8,37,1,9.22
257,Grand-Santi,GF,2021-04-08 23:00:52,4.25,-54.3833,73.27,98,100,2.86
258,Ayan,RU,2021-04-08 23:00:52,56.45,138.1667,18.55,88,86,1.54
259,Souillac,MU,2021-04-08 22:59:32,-20.5167,57.5167,77.0,78,40,6.91
260,Antsohihy,MG,2021-04-08 23:00:53,-14.8796,47.9875,72.1,88,32,3.94
261,Mount Isa,AU,2021-04-08 23:00:51,-20.7333,139.5,82.4,34,31,3.44
262,Harper,LR,2021-04-08 23:00:53,4.375,-7.7169,78.94,86,11,2.46
263,Sitka,US,2021-04-08 22:57:55,57.0531,-135.33,35.6,93,90,8.05
264,Fort Morgan,US,2021-04-08 23:00:30,40.2503,-103.8,71.6,9,1,21.85
265,Half Moon Bay,US,2021-04-08 23:00:54,37.4636,-122.4286,64.4,71,1,16.11
266,Zhezkazgan,KZ,2021-04-08 23:00:54,47.8043,67.7144,48.78,54,90,3.89
267,Sakakah,SA,2021-04-08 23:00:55,29.9697,40.2064,77.0,12,0,13.8
268,Mayo,US,2021-04-08 23:00:56,38.8876,-76.5119,62.6,59,1,13.8
269,Cozumel,MX,2021-04-08 23:00:56,20.5083,-86.9458,86.0,62,40,11.5
270,Vanimo,PG,2021-04-08 22:59:52,-2.6741,141.3028,80.2,80,100,4.09
271,San Patricio,US,2021-04-08 22:59:39,28.017,-97.5169,82.4,61,40,17.27
272,Cap Malheureux,MU,2021-04-08 22:57:23,-19.9842,57.6142,79.0,70,100,7.0
273,Sao Filipe,CV,2021-04-08 22:59:30,14.8961,-24.4956,74.46,66,1,9.78
274,Linqiong,CN,2021-04-08 23:00:57,30.4159,103.4609,57.2,100,40,4.47
275,Yuci,CN,2021-04-08 23:00:58,37.6803,112.7319,44.6,70,86,2.24
276,San Matias,BO,2021-04-08 23:00:58,-16.3667,-58.4,77.74,82,74,4.21
277,Fukue,JP,2021-04-08 23:00:58,32.6881,128.8419,59.76,63,96,14.03
278,Hithadhoo,MV,2021-04-08 22:58:50,-0.6,73.0833,82.72,67,13,13.02
279,Lavrentiya,RU,2021-04-08 22:57:41,65.5833,-171.0,-5.04,79,4,2.46
280,Hervey Bay,AU,2021-04-08 23:00:59,-25.2986,152.8535,73.4,78,4,4.72
281,Pacific Grove,US,2021-04-08 23:01:00,36.6177,-121.9166,61.0,59,1,13.8
282,Rocha,UY,2021-04-08 22:57:59,-34.4833,-54.3333,70.41,80,100,7.23
283,Salalah,OM,2021-04-08 22:58:28,17.0151,54.0924,78.8,53,0,5.75
284,Wewak,PG,2021-04-08 23:01:01,-3.5534,143.6268,77.9,83,100,5.23
285,Caxito,AO,2021-04-08 23:01:01,-8.5785,13.6643,75.2,94,75,8.05
286,Chunoyar,RU,2021-04-08 23:01:02,57.4467,97.3217,25.09,98,29,2.51
287,Kresttsy,RU,2021-04-08 23:01:02,58.2452,32.5165,30.02,75,14,6.8
288,Bosaso,SO,2021-04-08 23:01:03,11.2842,49.1816,78.06,49,4,5.01
289,Kigoma,TZ,2021-04-08 23:01:03,-4.8769,29.6267,72.19,79,23,1.3
290,Neuquen,AR,2021-04-08 22:58:17,-38.9516,-68.0591,71.6,40,0,8.05
291,Ayagoz,KZ,2021-04-08 23:01:04,47.9714,80.4392,41.97,70,24,6.64
292,Lianzhou,CN,2021-04-08 23:01:04,24.7811,112.3825,57.81,84,86,4.12
293,Zomba,MW,2021-04-08 23:01:05,-15.386,35.3188,59.05,93,34,2.3
